Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS,All-NBA
1,10.1,0.52,0.106,0.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,-2.5,1.4,-1.1,0.2,1.5,0
1,17.2,0.542,0.357,0.571,9.5,19.2,14.3,10.1,3.4,3.9,10.2,14.5,0.5,3.7,4.1,0.1,0.2,0
1,9.6,0.518,0.079,0.354,9.5,19.5,14.4,4.4,1.2,2.4,16,9.8,-2.8,1.2,-1.5,0.1,1.3,0
2,11.2,0.541,0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,-2.1,2.4,0.3,0.7,2.9,0
3,17.4,0.553,0,0.433,11.8,24.8,18.2,6.8,1.3,3,10.6,17.3,-1.4,0.3,-1.1,0.2,2.7,0
3,14.9,0.559,0,0.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,-2.5,2.9,0.4,0.2,0.9,0
3,18.4,0.552,0,0.4,10.9,25,17.7,7.7,1.3,2.4,10.1,19.7,-0.9,-0.7,-1.6,0.1,1.8,0
4,16,0.574,0.297,0.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,1.7,-2.3,-0.6,0.9,5.3,0
5,14.6,0.589,0.004,0.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,-1.5,0.8,-0.7,0.3,2.1,0
6,19.1,0.62,0,0.492,12.8,33.8,23,6.4,1.3,8.1,19.5,13,-2.6,3.8,1.2,0.3,1.2,0
7,21.8,0.507,0.011,0.253,7.2,25.5,16.5,13,1.3,1.9,7.2,29.8,-0.4,0.7,0.3,1.5,7.5,1
8,12.5,0.47,0.043,0.167,11.7,20,15.7,10.1,1.1,2.4,12,14.6,-3.1,0.3,-2.8,-0.2,1.5,0
8,11.9,0.464,0.049,0.15,11.5,20,15.6,10.2,1.1,2.2,12.4,14.3,-3.3,0.1,-3.2,-0.3,1.1,0
8,17.5,0.521,0,0.294,13.7,20.1,17.1,9,0.9,4.1,9.4,17.3,-1.7,2.2,0.4,0.1,0.4,0
9,12.8,0.59,0.569,0.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,1.3,-1.2,0.1,1,4.1,0
10,15.6,0.531,0.114,0.293,7.3,12,9.6,11.7,3.8,1.2,16.2,20.1,-0.1,2.4,2.3,1.4,2.7,0
11,13.2,0.516,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,-1.4,1,-0.3,0.9,3.1,0
12,9.1,0.446,0,0.75,17.3,17.2,17.3,4.7,2.5,5,24.8,13.9,-3.4,2.1,-1.3,0,0.1,0
12,9.2,0.446,0,0.75,17.4,17.3,17.4,4.7,2.5,5,24.8,14,-3.4,2.1,-1.3,0,0.1,0
13,18.5,0.683,0.044,0.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,0.1,1.5,1.6,1.3,6,0
14,9.5,0.525,0.511,0.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,-0.8,-1.4,-2.2,-0.1,1.7,0
15,10.9,0.53,0.49,0.148,2.7,11.7,7,9.9,1.6,1,12.2,15.9,-1.2,-1.3,-2.5,-0.3,1.9,0
16,18.8,0.572,0.463,0.175,9.5,11.3,10.4,3.6,0.7,0.7,5,22.9,4.3,-4.5,-0.1,0.4,2.3,0
17,10.8,0.518,0.282,0.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15,-2.5,0.7,-1.8,0.1,1.2,0
18,24.4,0.561,0.253,0.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,4.6,-1,3.6,4.2,10.7,0
19,8.1,0.394,0,0.25,9.1,14.6,11.8,1.6,0.8,5.2,7.8,9.3,-5.7,1,-4.7,-0.1,0.2,0
19,8,0.436,0,0.333,7.1,16.4,11.9,0,0,9.4,12.7,10.2,-7.3,0.8,-6.6,0,0,0
19,8.1,0.384,0,0.231,9.6,14.1,11.8,1.9,1,4.1,6.5,9.1,-5.3,1.1,-4.2,-0.1,0.1,0
20,11.7,0.545,0.582,0.224,7.2,18.9,13.1,9.8,1,1,14.5,18.6,-0.5,-0.9,-1.4,0.1,1.4,0
21,15.8,0.59,0.518,0.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,2.3,1.1,3.4,3.6,8,0
22,17,0.48,0,0.842,21.8,31,26.5,7.1,2.1,3.1,18.7,14.5,-2.5,3.1,0.6,0.1,0.3,0
23,9.4,0.459,0.156,0.151,4.8,14.7,9.8,8,1.6,3,11.7,18.1,-3.8,1,-2.8,-0.2,0.7,0
24,14,0.57,0,0.663,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,-3.1,0.7,-2.4,-0.1,2.4,0
25,16.2,0.569,0.462,0.316,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,2.6,-2.2,0.4,1.2,6.2,0
25,1.2,0.394,0.458,0.25,0,5.7,2.8,18.4,0.6,0,25.3,19.8,-7.4,-3.7,-11.2,-0.2,-0.2,0
25,16.8,0.574,0.463,0.318,0.9,6.7,3.9,29.3,1.5,0.1,12.8,22.5,3.1,-2.1,1,1.4,6.4,0
26,12.9,0.505,0,0.196,11.4,22.3,16.9,10,3,1.8,20.7,14.8,-3.2,3,-0.2,0.2,0.7,0
27,11.1,0.605,0,0.316,11,19.2,15.3,8.6,0.7,1.9,24.1,12.4,-1.6,2.1,0.5,0.6,2.4,0
28,3.7,0.367,0.9,0,3.3,11.5,7.3,3.3,2.3,0,9.1,11.1,-3.7,-0.7,-4.4,-0.1,0,0
29,12.1,0.525,0.617,0.117,4.4,17.5,10.8,9.4,0.8,1.9,8.5,17,0.5,-1.9,-1.4,0.1,0.7,0
30,11.5,0.506,0.191,0.298,1.5,9.7,5.6,13.4,1,0.8,11.4,20,-2.2,-1.8,-3.9,-0.2,0.4,0
31,11.6,0.471,0.352,0.152,1.2,10.5,5.7,32.7,0.9,0,15.2,23.9,-0.9,-2.7,-3.6,-0.6,0.7,0
32,14.5,0.51,0.215,0.203,6.3,14.7,10.4,6.1,0.6,3.7,9.6,22.4,-1.4,-1,-2.4,-0.1,1.5,0
33,9.8,0.486,0.28,0.267,3.3,11.9,7.7,7.6,1.5,0.7,10,16.8,-2.3,0.9,-1.4,0.3,3.2,0
34,12,0.552,0.537,0.171,4,14.4,9.3,10.6,1.6,1.2,13,16.6,0.7,0.8,1.5,1.5,3.5,0
35,13.5,0.488,0.212,0.205,4.5,16,10.3,13.3,1.2,1.3,9.6,21.2,-1.9,-0.7,-2.7,-0.1,0.6,0
36,15,0.549,0.008,0.33,7.8,15.9,11.8,6.4,0.8,2.4,10.9,18.2,-1.3,0.2,-1.2,0.5,5.1,0
37,8.7,0.523,0.764,0.084,3,8.6,5.9,6,1.8,2.3,6.9,10,0.1,0.7,0.8,1.1,2.4,0
38,15.8,0.589,0.491,0.248,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,2.4,1.8,4.2,4.6,7.9,0
39,12,0.498,0.344,0.191,1.5,8.6,5,18.5,1.9,0.4,10.9,20.1,-0.4,-1.4,-1.8,0.1,2.4,0
39,11.3,0.473,0.347,0.238,1.5,9.3,5.4,15.6,1.6,0.6,7.7,20.3,-0.6,-1.3,-2,0,1,0
39,12.5,0.514,0.341,0.161,1.5,8.1,4.7,20.4,2,0.3,12.9,19.9,-0.2,-1.5,-1.7,0.1,1.4,0
40,9.7,0.467,0,0.129,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,-3.7,-0.3,-4,-0.2,0.6,0
41,11.2,0.515,0.373,0.318,1.2,12.6,6.9,15.7,2.3,1,16.8,22.6,-2.1,-0.4,-2.5,-0.1,0.2,0
41,6.2,0.448,0.402,0.371,2.1,14,8.1,10.9,2.2,1.7,19.9,23.1,-6.1,0.3,-5.7,-0.3,-0.2,0
41,13.3,0.543,0.362,0.297,0.8,12,6.4,17.7,2.3,0.8,15.5,22.3,-0.5,-0.7,-1.2,0.1,0.4,0
42,14.3,0.507,0.299,0.164,2.4,10.2,6.3,16,1.4,0.6,9.4,24.3,0.2,-1.3,-1.1,0.5,4,0
43,16.8,0.559,0.152,0.223,4.9,20.5,13,8.8,1.5,2.2,12.8,25.7,-2.2,-1.2,-3.5,-0.3,1.6,0
44,15,0.605,0.422,0.188,1,11.2,6.3,13.2,1.3,0.3,11.2,19,1.9,-0.3,1.7,1.9,5.9,0
45,6.9,0.425,0.236,0.307,8.1,18.4,13.1,4,1.6,1,15.5,20.3,-5.8,-1.5,-7.3,-0.9,-0.4,0
46,12.4,0.545,0.53,0.212,4.9,7.4,6.2,12.8,2.2,1,11.2,14.8,1.9,0.6,2.5,2,4.2,0
47,2.4,0.412,0,6,5,39.7,21.8,0,0,0,35.5,5.7,-10.7,-4.3,-15,-0.1,0,0
48,5.3,0.427,0.608,0.152,1.3,8.9,4.9,18.7,1.3,0.3,22.9,15.1,-3.8,-2.4,-6.3,-0.3,-0.3,0
49,13.3,0.606,0,0.618,11,27.6,19.3,1.1,0.3,6.3,17.9,9.6,-4.7,2.2,-2.5,-0.1,3.2,0
50,17.3,0.557,0.005,0.308,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,-0.2,0.8,0.6,0.8,3.4,0
51,11,0.508,0.595,0.122,0.9,10.4,5.7,28.8,1.8,0.4,21.5,13.8,-0.9,-0.7,-1.6,0.2,1.8,0
51,12.1,0.515,0.562,0.15,1,11.4,6.2,33,1.9,0.2,22.2,15.7,-0.3,-1.3,-1.6,0.1,0.8,0
51,9.4,0.494,0.658,0.067,0.9,9,5,22.7,1.6,0.7,20.1,11.2,-1.8,0.2,-1.6,0.1,1.1,0
52,18.8,0.532,0.08,0.328,8.9,19.9,14.4,12.8,2.4,2,12.5,25.6,-0.6,0.7,0.1,0.8,3.7,0
53,19.6,0.578,0.252,0.426,2.1,13.8,8,27,2.4,0.8,17.8,24.9,2.3,0.6,2.9,1.8,4.1,0
54,0.5,0.403,0.25,1.25,0,23.4,11.4,10.7,0,0,24.4,24.3,-10.9,-3.1,-13.9,0,-0.1,0
55,9.9,0.82,1,0.5,0,6.4,3.1,7.7,0.9,0,12,6.7,0.1,-2.2,-2.1,0,0.1,0
56,17,0.61,0,0.171,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,-1.2,5.6,4.4,2.8,6.5,0
57,11.2,0.582,0.598,0.073,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,-0.4,0.7,0.3,0.4,1.8,0
58,15,0.563,0.005,0.189,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,-1.1,1.3,0.2,0.8,4.3,0
59,14.4,0.489,0.002,0.197,7.4,25.9,16.8,10.9,1.3,0.8,12.6,26.3,-4,0.6,-3.4,-0.7,3.4,0
60,19,0.597,0.229,0.285,5.1,20.3,13,5.8,1.7,2.7,10.4,22.6,0.5,0,0.5,1.6,8,0
61,12.7,0.51,0.242,0.136,2.9,11.2,6.9,8.1,1.7,0.5,9.9,23.2,-1.1,-1.4,-2.5,-0.2,1.8,0
62,14,0.561,0.006,0.283,8,21.5,14.8,8.1,1.4,4.9,13.8,13.9,-2.7,3.1,0.5,0.9,3.6,0
63,12.7,0.55,0.261,0.281,2.6,6.2,4.3,7.9,2.9,0.9,10.4,16.5,0.4,1.3,1.7,2.4,5.2,0
