Rk,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,All-NBA
1,63,0,13.4,1,2.2,0.468,0.1,0.2,0.267,1,2,0.492,0.482,0.6,0.8,0.66,1.1,2.3,3.4,0.4,0.4,0.4,0.5,1.9,2.7,0
1,7,0,8.7,0.9,2,0.429,0.3,0.7,0.4,0.6,1.3,0.444,0.5,0.7,1.1,0.625,0.7,1.4,2.1,0.6,0.6,0.4,0.3,1.1,2.7,0
1,56,0,14,1.1,2.3,0.472,0,0.2,0.2,1,2.1,0.496,0.48,0.5,0.8,0.667,1.2,2.4,3.6,0.4,0.3,0.4,0.5,2,2.7,0
2,81,20,14.8,1.1,2.3,0.503,0,0,0,1.1,2.3,0.503,0.503,1,1.7,0.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,0
3,28,12,25.2,4.3,8.4,0.515,0,0,0,4.3,8.4,0.515,0.515,2.3,3.4,0.67,2.5,5.3,7.8,1.1,0.6,0.8,1.1,2.6,10.9,0
3,53,12,18.1,2.7,5.2,0.52,0,0,0,2.7,5.2,0.52,0.52,1.4,2.2,0.639,1.9,3.8,5.8,0.7,0.5,0.7,0.7,2,6.8,0
3,25,0,10.2,0.9,1.6,0.55,0,0,0,0.9,1.6,0.55,0.55,0.5,1,0.52,1.3,2.2,3.5,0.3,0.3,0.6,0.3,1.4,2.3,0
4,73,73,35,6.4,13.8,0.459,1.8,4.1,0.427,4.6,9.7,0.473,0.522,3.8,4.6,0.815,0.4,3.2,3.6,3.4,0.5,0,2,1.9,18.2,0
5,56,30,17,2.4,4.4,0.546,0,0,0,2.4,4.4,0.548,0.546,1,1.2,0.836,1.7,3.3,4.9,0.7,0.4,0.8,1.1,3.3,5.9,0
6,46,2,7.2,0.7,1.3,0.541,0,0,0,0.7,1.3,0.541,0.541,0.6,0.7,0.867,0.8,2,2.8,0.3,0.2,0.7,0.4,0.9,2,0
7,69,69,36.2,9.4,20.6,0.458,0,0.2,0.2,9.4,20.4,0.461,0.459,4.3,5.2,0.822,2.4,8.7,11.1,2.6,0.9,1,1.8,2.1,23.2,1
8,51,2,18.8,2.3,5.2,0.44,0,0.3,0.154,2.3,5,0.455,0.444,0.5,0.8,0.675,2.1,3.4,5.4,1.3,0.4,0.5,0.8,2.3,5.2,0
8,65,2,16.5,2.1,4.6,0.447,0,0.2,0.154,2,4.4,0.46,0.45,0.5,0.8,0.66,1.8,3,4.8,1.1,0.4,0.5,0.7,1.9,4.7,0
8,14,0,8,1.2,2.4,0.5,0,0,0,1.2,2.4,0.5,0.5,0.4,0.7,0.6,0.9,1.5,2.4,0.4,0.1,0.4,0.3,0.8,2.9,0
9,73,9,26.5,3.3,7.4,0.442,1.6,4.2,0.375,1.7,3.2,0.53,0.549,1.4,1.6,0.905,0.3,2.5,2.8,2,0.7,0.1,1.2,1.6,9.6,0
10,55,28,23.2,3.7,7.5,0.494,0.2,0.9,0.234,3.5,6.7,0.527,0.507,1.4,2.2,0.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,9,0
11,80,65,25.6,2.9,6.2,0.474,0.2,0.6,0.271,2.8,5.6,0.496,0.487,1.1,1.7,0.664,1.6,4.6,6.2,1.4,1,0.5,1.1,1.8,7.2,0
12,18,0,10.2,0.9,1.8,0.5,0,0,0,0.9,1.8,0.5,0.5,0.3,1.3,0.25,1.6,1.5,3.1,0.3,0.5,0.6,0.8,2.7,2.1,0
12,19,0,9.7,0.8,1.7,0.5,0,0,0,0.8,1.7,0.5,0.5,0.3,1.3,0.25,1.5,1.4,2.9,0.3,0.5,0.6,0.7,2.6,2,0
