Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS,All-NBA
36,16.3,0.557,0.047,0.313,7.8,14.9,11.3,8.6,1.1,1.3,9.6,19.5,-0.4,-0.1,-0.5,0.7,5.3,0
37,13.1,0.516,0.515,0.163,2.8,15.6,9.4,20.5,1.7,1.2,17,14.6,0.6,2.6,3.1,3.1,5.2,0
38,11.1,0.519,0.233,0.266,1.5,12.5,7,21,1.8,0.6,18.8,18.6,-2.3,-0.3,-2.6,-0.3,2.4,0
39,15.9,0.618,0.012,0.318,11.2,20.7,16.1,4.9,0.7,1.5,14.8,17.8,-0.7,-0.2,-1,0.3,3.9,0
40,9.7,0.52,0.399,0.302,1.9,16.8,9.6,8.6,2,2.1,16.3,15.5,-3.1,1.3,-1.8,0.1,1.6,0
41,14,0.521,0.304,0.195,3.1,9.6,6.4,15,1.8,0.7,11.7,22.5,0.5,-0.1,0.5,1.3,3.7,0
42,10.6,0.474,0.16,0.123,2.9,17.9,10.6,11.5,1.6,2.2,14.2,24.2,-4.3,-0.4,-4.7,-0.3,-0.1,0
43,12.4,0.553,0.489,0.211,2.2,10.5,6.4,10.3,1.1,0.2,10.6,18.8,0.6,-1.1,-0.5,0.5,2.9,0
45,11.4,0.458,0.077,0.215,6.5,21.6,13.8,8.7,1.5,1.4,10,17.8,-3.6,-1.2,-4.8,-0.6,0.3,0
46,11.3,0.509,0.607,0.113,4.3,10.8,7.6,17.2,1.7,1,12.9,16.1,0.5,0.3,0.8,1.2,3.5,0
47,44.3,0.5,0,0,0,36.5,18.9,78.5,0,26.3,0,29.4,9.4,17.1,26.6,0,0,0
48,15.2,0.578,0,0.941,13.7,22.6,18,2,0.7,6.3,16.5,11.6,-3.2,2.8,-0.4,0.5,4,0
49,14.7,0.583,0.004,0.432,12.8,21.4,17,5.6,0.8,1.6,12.9,13.8,-1,-0.6,-1.6,0.1,3.1,0
