Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS
42,15.5,0.547,0.339,0.22,2.6,9.8,6.2,15.6,1.5,0.5,11.3,25.3,1,-1.6,-0.6,0.6,2.7
43,22.5,0.563,0.044,0.239,8.8,21.1,14.9,9.1,1.5,2.1,9.6,29.7,-0.8,-2.5,-3.4,-0.1,1
44,9.4,0.5,0.468,0.217,0.7,6.9,3.8,11.1,1.1,0.1,10.3,19.7,-1.3,-2.9,-4.2,-0.9,0.5
45,10.4,0.446,0.519,0.37,8.3,22.8,15.7,0,3.1,0,11.3,19.2,-4.8,-4.6,-9.4,-0.2,0.1
46,13,0.553,0.522,0.148,3.9,9.6,6.8,17.9,2.3,1.1,12.6,15.3,1.4,-0.3,1.1,1.6,4.4
47,14.9,0.586,0.003,0.785,11.7,29.5,20.8,2.4,0.5,6.1,15.5,11.5,-2.4,2.3,-0.1,0.9,5.9
48,11.2,0.594,0.532,0.234,5.4,17.2,11.4,11.4,1.2,1.6,15.3,12.8,0.5,-0.2,0.3,0.6,1.9
49,12.3,0.537,0,0.433,9.2,25.4,17,5.2,1.4,2.9,15.1,12.9,-4,0.6,-3.4,-0.2,0.7
50,5.4,0.414,0.015,0.191,10.1,19.4,14.6,7.3,1.8,0.7,16.9,17.8,-6.3,-0.1,-6.4,-0.2,-0.1
51,9.8,0.51,0.629,0.083,1,9.2,4.9,29.5,1.2,0.4,24.6,14.6,-1.8,-1.8,-3.5,-0.4,1.1
52,20,0.557,0.262,0.35,1.8,11.2,6.4,31.8,2.9,1.5,16.2,27.2,2.7,0.1,2.8,1.3,2.5
53,10.7,0.55,0.451,0.176,1.9,11.8,6.8,7.3,0.7,0.2,12.5,19.4,-0.5,-2.9,-3.4,-0.8,0.9
54,15.9,0.623,0.004,0.179,9.5,26,18.3,14.8,1.1,5.8,21.6,11.4,-0.6,5.1,4.5,2.4,5.4
55,14.1,0.647,0.596,0.07,1.7,12.8,7.5,6.3,1.5,0.4,4.9,13.7,1.8,-0.3,1.6,0.2,0.8
56,11.9,0.535,0.333,0.295,1.4,8.4,4.8,15.8,1,0.8,14,23,-0.6,-2.4,-3.1,-0.6,1.9
57,14.4,0.533,0.106,0.273,11.9,20.4,16.2,8.2,1.9,2.1,15.7,14.6,-0.9,2.3,1.4,1.4,4.3
58,20.2,0.571,0.289,0.349,3.2,21.1,12.4,12.1,1,1.5,8.1,24.7,2.3,-0.3,2.1,1.8,6.4
59,13.2,0.538,0.399,0.121,2,7.3,4.6,9.8,2.2,0.6,9.2,19.8,0.5,-0.3,0.2,1.4,4.8
60,11.4,0.461,0.014,0.125,4.2,27,15.2,13.1,2,2.7,12.6,16.9,-5.5,1.5,-4,-0.1,0.2
61,9.9,0.481,0.406,0.254,2.8,10.4,6.6,10,2.5,0.9,11.3,17.8,-2.2,-1,-3.1,-0.5,1.2
62,11.8,0.494,0.394,0.136,2,7.5,4.8,26,1.4,0.7,14.2,22.9,-0.5,-2.8,-3.3,-0.4,0.9
63,4.9,0.427,0.556,0.159,1.6,11.3,6.3,4.8,1.2,0.7,10,11,-4,-1.1,-5,-0.5,-0.3
64,4.4,0.374,0.32,0.16,0,12.8,6.2,28,2.4,1.3,25.2,24.9,-8.1,-1.4,-9.5,-0.1,-0.2
65,11.3,0.5,0.376,0.292,2.6,11.5,7,13.9,2,1.2,12.9,18.9,-1.4,-1.3,-2.6,-0.2,0.6
66,14.9,0.469,0.42,0.252,2.3,12.3,7.1,19.1,1.7,0.5,9.4,32.2,0.8,-3.3,-2.5,-0.2,-0.4
67,10.7,0.514,0.36,0.234,5,12.6,8.8,10.2,1.7,0.9,14.3,14.5,-2,0.3,-1.7,0.1,1.4
67,11.1,0.502,0.356,0.247,4.7,13.4,9.1,9.9,2,1,12.6,14.9,-2,0.8,-1.2,0.1,1.3
67,9.2,0.567,0.378,0.178,6.4,9.4,7.9,11.4,0.7,0.4,21.1,13.1,-2,-1.6,-3.6,-0.1,0.1
68,12,0.583,0.541,0.153,3.4,14.3,8.6,9.2,1.2,0.4,7.1,11.4,0,0,0,0.2,1.2
69,14,0.507,0.404,0.129,1.5,8,4.8,19.7,1.4,0.4,10.7,25.3,0.4,-2.5,-2,0,2.1
70,14.3,0.52,0.237,0.422,2.4,13.6,8,13.9,1.2,0.4,11.4,25.9,-0.9,-1.6,-2.5,-0.1,1.5
71,11.3,0.49,0.305,0.203,3.1,10.4,6.8,8.3,2.5,0.5,4.5,16.2,-1.5,-1.1,-2.6,0,0.3
72,21.3,0.562,0.198,0.459,3.4,11.6,7.6,21.4,2.2,1.3,9.6,24.4,3.6,0.3,4,3.7,9.1
73,13.4,0.558,0.471,0.154,0.8,13.5,7.4,7.7,1.5,4.1,6.7,12.6,-0.9,2.7,1.8,0.4,1.3
74,-7.7,0.125,0.583,0,2.7,2.6,2.7,3.2,2.4,1.9,25,16.9,-11.4,-0.2,-11.6,-0.1,-0.3
75,12.3,0.571,0.446,0.105,1.2,11,6.2,22.4,1.6,0.3,15.4,12.6,0.5,-0.6,-0.1,1,4
76,12.4,0.521,0.384,0.238,2.6,8.6,5.5,7.8,2,0.5,9,18.2,0.6,0.6,1.1,2.2,5.3
77,11.1,0.528,0.672,0.249,1.1,8.8,4.8,11.3,1.4,0.5,10.2,19.9,0.2,-2.9,-2.7,-0.4,1.4
