Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS
1,15.9,0.632,0.027,0.507,10.3,16.6,13.4,5.2,2,3.5,15.6,14.7,-0.6,1.3,0.7,0.2,1.1
2,13.4,0.493,0.012,0.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,-3,-0.2,-3.3,-0.2,1
3,13,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,-0.3,-2,-2.3,-0.2,2
4,15.3,0.625,0.5,0,0,12.1,6.2,19.4,0,0,0,20.3,4.7,-4.9,-0.2,0,0
5,11.1,0.563,0,0.25,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,-4.8,0.7,-4,-0.2,0.6
5,7.3,0.532,0,0.209,6.5,23.7,15.2,4.1,0.7,3.2,23,12.5,-5.7,1,-4.8,-0.1,0.2
5,15.7,0.598,0,0.297,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,-3.6,0.5,-3.1,-0.1,0.4
6,20.4,0.53,0.011,0.264,7.2,20.9,14,13,1.2,2.5,8.9,26.5,0.3,0.5,0.8,2,7.2
7,11.5,0.474,0.002,0.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,-3.2,0.6,-2.6,-0.3,2.5
8,14.7,0.599,0.51,0.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,1.7,-1.5,0.2,1.1,5.4
9,13.2,0.489,0.038,0.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,-1.6,2.9,1.3,1.8,5.1
10,13.7,0.519,0.04,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,-2,2.4,0.4,1.3,3.1
11,9.3,0.392,0,0.444,14.7,18.7,16.7,4.5,2.3,2.6,16.4,14.2,-4.4,1,-3.3,-0.1,0.1
11,6.3,0.342,0,0.526,15.9,17.6,16.7,2.8,2.2,2.9,19,16.1,-6.9,0.9,-5.9,-0.2,-0.1
11,0,0,0,0,56.7,0,28.7,0,0,0,0,23,-9.7,-11.4,-21.1,0,0
11,11.7,0.449,0,0.381,13.4,19.7,16.5,5.8,2.3,2.4,14,12.7,-2.4,1.3,-1.1,0,0.3
12,17.4,0.631,0.024,0.756,11.9,21.5,17,4,1.4,5.8,12.8,14.4,-0.6,1.8,1.2,0.5,2.7
13,12.6,0.509,0.463,0.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,0.4,-2.4,-2,0,1.6
14,13.9,0.539,0.476,0.222,5.2,15,10.2,15.8,1.9,0.9,15.3,18,-0.1,0,-0.1,0.2,0.9
14,13,0.587,0.44,0.36,3.9,12.8,8.6,13.9,1.6,1.5,19.5,17.6,-1,0.3,-0.7,0,0.2
14,14.2,0.526,0.485,0.188,5.6,15.7,10.7,16.4,2,0.7,14.1,18.1,0.2,-0.1,0,0.2,0.7
15,18.1,0.548,0.5,0.161,8.9,15.9,12.4,6.9,0.9,1,7.5,24,4.1,-2.9,1.3,2.1,6.5
16,24.8,0.56,0.278,0.344,6.1,15.9,10.8,14.1,1.1,1.1,9.3,35.6,4.7,-2.3,2.4,2.8,9.5
