Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS
17,10.4,0.542,0,0.412,10.4,14.4,12.5,3.1,1.2,6.1,21.5,8.6,-3,2.7,-0.3,0.2,1.2
18,14,0.538,0.463,0.211,3.3,16.9,10,12.7,2.5,1.1,14.6,17.9,-0.4,1.9,1.5,1.3,3.1
19,11.8,0.477,0.05,0.128,8.1,12.5,10.3,5.9,1.3,2.8,10.2,20.1,-2.9,0.5,-2.4,-0.1,1.7
20,14.9,0.558,0.002,0.487,12.8,31,22,4.6,0.9,2.7,18.8,16.3,-2.6,1.3,-1.3,0.5,5.5
21,11,0.527,0.646,0.337,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,-0.4,-1.4,-1.9,0,2.8
22,12.8,0.54,0,0.299,9,21.3,15.1,14.7,1.5,1.8,19.9,14.5,-2.6,1.3,-1.2,0.1,1.2
22,11.7,0.54,0,0.304,7.9,19.8,13.8,15.5,1.2,1.8,21.1,14.3,-2.9,1,-1.9,0,0.7
22,16.6,0.539,0,0.286,12.7,26.7,19.4,11.6,2.8,1.8,16,15,-1.3,2.6,1.3,0.1,0.4
23,14.5,0.533,0.032,0.183,8.9,22.2,15.7,7.2,0.9,2.4,14.5,19.7,-3.5,0.6,-2.9,-0.1,1
24,9.4,0.509,0.761,0.056,2.4,19.7,10.9,6.2,1,0.5,8.4,16.4,-1.2,-2.3,-3.6,-0.3,0.7
25,13.5,0.509,0.244,0.212,1.9,8.5,5.3,19,1.7,0.9,9.1,21.4,-1.1,-1.8,-2.9,-0.1,0.9
26,14.1,0.51,0.369,0.177,2.2,11.9,6.9,30.6,1,0,15.1,25.1,1.1,-2.1,-1,0.4,1.9
27,11.2,0.482,0.289,0.181,3,12.3,7.6,6.6,1.1,1.8,10.5,23.8,-2.5,-1.8,-4.2,-0.6,0.1
28,11,0.526,0.231,0.303,2.9,14.5,8.9,7.3,1.3,0.5,12.4,17.7,-2.1,-0.3,-2.4,-0.2,2.8
29,15.5,0.566,0.481,0.173,6.5,14.5,10.6,9.2,2.1,2.6,11,18.1,2.2,1.1,3.4,2.8,6.3
30,8.9,0.361,0,0.137,15.4,28.1,21.6,5,1.6,3,16.9,18.8,-7.6,1,-6.6,-0.2,0
30,6.9,0.357,0,0.135,14.4,24.7,19.5,3.9,2.1,3.2,20.3,18.4,-8.4,1.6,-6.8,-0.1,-0.1
30,15.4,0.37,0,0.143,18.4,39.3,28.5,8.7,0,2.3,6.3,20.1,-5,-0.9,-5.9,0,0.1
31,9.1,0.437,0.21,0.21,4.6,14.3,9.4,10.4,2,0.8,15.1,20.4,-4.8,-0.9,-5.7,-0.8,-0.5
32,12.3,0.535,0.003,0.255,7,15.2,11.2,6,1,2.3,10.9,15.5,-2.3,1.1,-1.2,0.4,4.7
33,10.7,0.623,0.873,0.105,2.7,8.4,5.7,5.7,1.2,2.5,8.2,11,2,0,2,1.8,4.4
34,15.7,0.566,0.533,0.252,4,13.2,8.5,20.3,1.7,2.2,17,18.2,2.3,1.1,3.4,3.8,5.8
35,13.5,0.514,0.324,0.196,1.4,10.5,5.9,24.9,1.8,0.8,15.1,20.8,0.1,-0.2,-0.2,0.8,4
36,8.8,0.521,0.028,0.333,10.4,15.5,13.1,5.2,0.4,3.1,21,17.1,-4.7,0.4,-4.3,-0.1,0.1
37,11.3,0.454,0.293,0.379,2.1,6.8,4.5,13.1,3.2,1.2,11.7,25.7,-3.4,-1.5,-4.9,-0.2,0.1
38,13.6,0.515,0.344,0.231,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,0,0,-0.1,0.9,3
39,10.8,0.462,0.188,0.164,3.7,17.2,10.3,12.5,1,1.6,14.9,27.6,-4.4,-1.7,-6.1,-1.6,-1.5
40,10.6,0.47,0.409,0.216,1.9,9.6,5.8,22.6,1.8,0.6,14.6,18.7,-1.6,-1.7,-3.3,-0.2,0.4
41,10.4,0.513,0.362,0.275,0.8,7.8,4.3,12.9,1.3,0.2,10.7,18.7,-1.1,-1.6,-2.7,-0.3,3
42,15.4,0.551,0.508,0.217,7.2,10.1,8.7,24.2,2.6,2.2,17.5,15.4,2,1.4,3.4,1,2.2
43,7.7,0.449,0,0.619,7.8,25.7,17,3.7,1.5,6.6,34.4,3.7,-5,5.7,0.7,0.3,1.1
44,15,0.601,0.682,0.364,0.6,8.4,4.6,17.4,1.5,0.2,14.5,19.6,2.4,-2.7,-0.2,0.2,1.3
45,10.1,0.472,0,0.41,9.9,20.9,15.2,2.5,0.7,5.3,16.7,10.2,-4.4,1.2,-3.2,-0.7,1.4
46,14.6,0.543,0.004,0.258,9.5,21.1,15.6,8.3,2.2,0.9,14,19,-2,1.3,-0.8,0.3,2.2
47,11.7,0.573,0.633,0.13,2,10.1,6.2,21.9,1.5,0.4,17.8,13.2,0.7,-0.7,0,0.6,2.4
48,21.9,0.547,0.033,0.32,12.2,19.6,15.8,10.5,3,2.7,13.8,26.5,0.7,1.6,2.3,1.7,4.9
49,17.5,0.513,0.137,0.236,6.1,11.1,8.6,23.5,3.7,3,17.9,22.5,0,2.7,2.7,1.9,3.7
50,6.7,0.533,0.863,0.06,1.3,8.8,5,8.1,1.1,0.2,14.4,11.2,-0.4,-0.9,-1.3,0.3,1.4
51,13.8,0.463,0.005,0.207,9.8,24.1,17.2,12.5,1.3,5.5,14.8,13.4,-2.5,4.8,2.3,0.9,1.7
52,11.8,0.609,0.522,0.065,3.4,12.5,8.2,5.8,1,1.5,6.3,12.8,0.4,0,0.5,0.6,2.5
53,13.9,0.509,0.023,0.327,12.2,17.8,14.9,7.4,1.9,1.4,11,14.5,-1.7,1.8,0.1,0.5,2.3
54,17.1,0.51,0.002,0.232,7.8,27.2,17.4,13.4,1.4,0.8,12.3,25.8,-1.5,0.9,-0.6,0.9,5.7
55,20,0.592,0.082,0.333,7,17.6,12.6,8.4,1.4,3.4,11,22.7,0.6,0.6,1.2,2,9
56,8.8,0.461,0.264,0.103,2.5,6.5,4.6,11.6,2.3,1,12.6,18.8,-2.8,0.2,-2.7,-0.2,0.4
57,15.2,0.499,0.002,0.195,9.7,21.5,15.7,7.1,1.7,4.6,9.9,17.2,-2.1,2.5,0.4,0.9,3.4
58,14.7,0.506,0.348,0.245,3.1,9.9,6.6,9.5,3,0.9,9.4,23.4,0.7,-0.4,0.3,1.1,3.9
59,10,0.416,0.384,0.197,5.7,13.5,9.6,8.6,2.7,0.6,7.7,12.7,-1.8,1,-0.8,0.3,1.1
59,10.2,0.432,0.406,0.223,4.6,12.1,8.2,8.4,2.6,0.7,6.8,13.6,-1.6,0.7,-0.9,0.2,0.8
59,9.1,0.283,0.217,0,11.3,20.3,16.2,9.4,3.3,0,14.8,8.6,-2.7,2.6,-0.1,0.1,0.2
60,11.8,0.555,0.424,0.165,1.5,7.9,4.6,18,1.5,0.8,16.5,18.1,0,-2.7,-2.7,-0.2,0.8
60,12.1,0.562,0.419,0.172,1.4,8.1,4.7,17.8,1.5,0.6,16.2,18,0.2,-2.7,-2.5,-0.1,0.9
60,5.6,0.385,0.538,0,3,3,3,23.1,1.3,6,23.5,19.6,-5.8,-0.5,-6.3,0,0
61,13.5,0.523,0.164,0.281,4.1,9.4,6.7,14.6,2,1.3,15.5,22.5,-1.4,-0.8,-2.2,0,1.3
62,8.8,0.452,0,0.514,9.4,22.1,15.5,4.7,1.2,2.9,15,9.1,-5.1,1.6,-3.5,-0.1,0.4
63,13.1,0.493,0.247,0.219,3.5,8.7,6,12.8,2.2,0.8,10.6,22.2,-0.9,-1.3,-2.1,0,1.2
64,23,0.57,0.255,0.392,2.5,13.1,7.9,29.7,1.8,0.6,13.3,31.9,5.2,-0.5,4.7,5.1,10.9
65,12.6,0.516,0.424,0.22,3.3,13,8,8.3,1.4,1.1,9.9,20.5,-0.7,-1.1,-1.8,0,0.7
66,11.5,0.507,0.237,0.332,3.8,11.2,7.5,13,1.6,0.9,14.3,20.7,-1.4,-1.3,-2.7,-0.2,1
67,12.4,0.535,0.458,0.125,2.6,11.4,7.1,6.5,1.4,0.5,8.7,20.2,0.3,-1.9,-1.6,0.2,3.6
68,15.2,0.574,0.205,0.455,7.2,10.4,8.8,8.6,2,1.1,9.2,14.6,0.9,1,1.9,2.1,7
69,16.6,0.532,0.141,0.243,2.6,6.6,4.6,34.8,2,0.3,17.3,27,0.8,-3.2,-2.4,-0.1,1.7
70,18.8,0.616,0.444,0.126,1.1,8.6,4.8,39.8,1.4,0.3,15.8,17,3.7,-3.3,0.4,1.3,7.4
70,19.2,0.594,0.462,0.131,1.3,8.7,5,43.7,1.2,0.4,15.1,18.1,4.1,-3.7,0.4,0.8,4.4
70,18.2,0.654,0.414,0.118,0.8,8.5,4.5,34.1,1.8,0.2,17,15.4,3.2,-2.9,0.3,0.5,3
71,8.6,0.342,0,0.358,10.9,27.1,18.7,8.1,1.5,4.8,19.6,14.3,-6.6,3.4,-3.2,-0.1,0
72,15.5,0.535,0.216,0.302,9.1,10.8,9.9,8.7,2.8,1.7,8.5,16.4,1.4,0.7,2,1.1,3.1
74,17.8,0.571,0.467,0.261,3.1,14.4,8.9,15,1.8,1.6,10,23.1,3.3,-0.4,2.9,2.6,6
75,12.9,0.486,0.475,0.256,4.4,22.7,13.1,8.8,2.6,1.9,11,17.7,-1.8,0.1,-1.7,0,0.7
76,13.3,0.576,0.569,0.212,1.2,8.6,5.1,19.4,3,0.5,17.1,16.1,1.3,-0.2,1.1,1.6,5.2
77,18.9,0.671,0,0.645,14.1,24.3,19,4.5,1,3,14.5,13,1.7,1.8,3.5,3,9.3
78,16.6,0.556,0.277,0.244,4.8,17.6,11.3,8.3,2.1,0.9,10.6,22.7,1.2,-0.5,0.7,0.7,3.1
79,7,0.32,0.143,0.095,7,10.7,8.9,7.3,1.1,1.5,0,10.1,-3.8,0.3,-3.5,0,0.1
80,12.4,0.51,0.269,0.197,6.8,19.1,13.1,7.4,1.3,2.3,12.9,15.7,-2,1,-0.9,0.4,2.3
81,7,0.462,0.46,0.159,4.4,12.8,8.5,7.9,1.7,1.1,17.5,13.9,-3.3,0,-3.3,-0.3,-0.1
82,7.9,0.483,0.231,0.188,1.5,8.2,5,15.2,1.9,0.4,18.4,17,-3.4,-1.1,-4.5,-1,0.6
83,3,0.476,0,1.103,6.9,11.3,9.2,2.9,1.6,2.1,29.5,7.5,-5.3,1.9,-3.4,-0.1,0.4
83,3,0.511,0,1.304,7.8,10.8,9.3,2.5,1.6,1.4,30.7,7.5,-4.8,1.4,-3.5,-0.1,0.3
83,2.9,0.291,0,0.333,2,14.5,8.2,5.2,1.9,5.9,22.5,7.5,-8.4,5.3,-3.1,0,0
84,16.3,0.575,0.188,0.38,1.5,8.7,5.1,26.8,2.2,0.3,17,19.6,1.1,-0.9,0.2,1.3,5.6
85,13.6,0.624,0.014,0.264,9.6,14.2,12.1,11.3,1.7,1.4,17.3,11.5,1,1.4,2.4,1.8,5.2
86,18.3,0.549,0.312,0.3,1.8,7.9,4.8,29.5,3.4,0.7,15.1,21,3.1,1.1,4.1,4.3,9.9
87,-15.2,0.051,0.333,0.222,5.5,0,2.9,0,0,0,0,22.1,-15.9,-6.8,-22.8,-0.1,-0.2
88,5.8,0.398,0.545,0.072,1.8,14.1,7.9,6.7,0.9,1.2,8,19.2,-4.8,-2.2,-7,-0.6,-0.2
88,8.8,0.456,0.508,0.051,3.5,8.8,6.2,9.1,1.8,0.9,9,17.6,-2,-1.4,-3.4,-0.1,0.1
88,4,0.366,0.565,0.083,0.8,17.3,8.9,5.2,0.4,1.4,7.4,20.1,-6.4,-2.7,-9.2,-0.5,-0.3
89,16.8,0.583,0.368,0.218,4.5,11.9,8.1,5.7,1,1.2,10.7,25.3,1,-3.2,-2.2,-0.1,2.1
90,20.2,0.524,0.021,0.408,10.9,27,18.7,15.3,2.4,1.9,15.5,28.1,0,1,1,1.7,4.4
91,16.8,0.558,0.39,0.244,1.2,5.6,3.4,14.4,1.9,0.5,11.5,26,2,-2.6,-0.6,0.8,5.4
92,13.8,0.512,0.339,0.219,2.9,10.9,6.9,23.5,1.2,0.3,15.1,25.3,-0.1,-1.5,-1.6,0.2,1.9
92,14.7,0.512,0.337,0.209,3,10.3,6.6,25.5,1.2,0.4,14.9,26.4,0.5,-1.4,-0.9,0.3,1.4
92,12,0.512,0.346,0.244,2.7,12,7.5,19.4,1.1,0.3,15.5,23.1,-1.4,-1.6,-3.1,-0.2,0.5
93,10.2,0.491,0.523,0.199,2.9,12.3,7.7,10,2.4,1,10.9,15.1,-0.9,0.4,-0.5,0.5,1.5
94,13.3,0.485,0.009,0.154,7.8,15.6,11.6,5.7,2.2,1.5,7.3,17.2,-2.1,1.1,-0.9,0.5,3.5
95,14.8,0.538,0.214,0.143,4.4,8.4,6.4,6.8,2,0,11.8,29.6,-1.8,-4.5,-6.3,0,0
96,-0.2,0.461,0,0.5,9.1,8.7,8.9,0,0,0,23.5,23.3,-9.6,-6.5,-16.1,-0.1,-0.1
97,21.3,0.589,0.432,0.21,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,6.3,-0.9,5.4,5.6,11.2
98,18.6,0.565,0.004,0.217,14.2,24.9,19.4,4.5,1.1,5.1,15.5,18.7,-2.3,1,-1.2,0.1,2.2
99,9.2,0.432,0.205,0.154,4.6,10.5,7.4,9,2.4,0.7,10.7,16.9,-3.4,0.1,-3.3,-0.4,0.5
100,21.7,0.559,0.009,0.333,10.5,23.5,16.8,6.1,2.2,5.1,10.3,21.8,0.5,1.9,2.3,2,6.1
101,17.8,0.561,0,0.346,10.9,22.8,16.7,6.7,1.2,4.2,10.2,17.6,-0.8,1.6,0.8,1.1,5.4
101,18.1,0.57,0,0.301,10.2,22.8,16.4,8.8,1.2,2.8,10.5,18.3,0,1,1,0.8,3.3
101,17.2,0.539,0,0.455,12.1,22.8,17.4,2.4,1.3,7.1,9.5,16.1,-2.5,2.9,0.4,0.3,2.1
102,15,0.483,0.004,0.245,5.8,20.3,13.1,11.3,1.6,1.5,10.8,25.4,-2.8,-0.2,-3,-0.3,0.8
103,12.9,0.554,0.471,0.163,2.7,18.8,10.6,10.1,1.1,2.6,11.5,17.1,-0.8,0.1,-0.7,0.2,1.6
103,12.6,0.581,0.412,0.186,3.2,17.9,10.4,9.6,0.8,1.8,11,15.4,-0.5,-1.1,-1.6,0,0.8
103,13.3,0.529,0.523,0.144,2.1,19.8,10.8,10.6,1.5,3.5,11.9,18.8,-1.1,1.4,0.3,0.2,0.9
104,11.1,0.53,0.34,0.183,3.1,13.7,8.7,21.6,2.3,0.5,23.7,17.1,-2.1,1,-1,0.2,1.3
105,13.3,0.549,0.679,0.09,1.2,13.4,7.4,12.5,2,0.4,10,18.6,1.7,-0.6,1.2,1.3,3.5
106,15.1,0.508,0.213,0.258,6.3,12.6,9.4,13.2,1.5,0.8,10.6,21.5,0.6,0.4,1.1,2.2,6.3
107,-19.4,0,0,0,0,0,0,0,0,0,0,22.8,-21.4,-6.5,-27.8,0,0
108,14.7,0.523,0.097,0.347,1.9,10.9,6.3,12,1.3,0.6,9.6,24.2,-0.5,-1.4,-1.9,0.1,4.7
109,11.9,0.603,0.235,0.196,4.7,12,8.6,15,1.6,1.1,18.9,12,-0.1,1.9,1.8,1.6,4.4
110,6.6,0.292,0.037,0.037,4.9,21.4,12.9,8.5,1.2,5.7,22.6,7.1,-7.1,3,-4.1,-0.1,-0.1
111,11.2,0.644,0.571,0.333,0,1.5,0.7,15.6,0.7,0,17.2,16.4,-0.1,-4.5,-4.7,-0.1,0.2
112,13.4,0.531,0.464,0.18,3,9.2,6.1,18.3,2.8,0.2,13.9,19.9,0.8,-1.1,-0.3,0.6,2.4
112,12.3,0.522,0.46,0.193,2.9,8.2,5.6,16,2.2,0.2,12.8,21,0.3,-1.4,-1.1,0.2,1.5
112,16,0.558,0.474,0.14,3.3,11.6,7.3,23.8,4.2,0.2,17.1,17.3,2,-0.2,1.8,0.4,0.9
113,8.3,0.462,0.286,0.714,0,8.7,4.4,8.9,1.6,0,5.2,14,-3.2,-1.8,-5,0,0.1
114,17.5,0.54,0.305,0.36,2.6,8,5.2,35.7,2.5,0.8,16.8,21.7,2.6,-1.2,1.4,2.2,5.7
115,21.6,0.578,0.006,0.465,15.4,27.2,21.2,4.1,2.5,6.1,12.2,17.2,-0.3,2.6,2.4,1.4,4.5
116,14.9,0.582,0.405,0.242,4.1,8.9,6.4,14.9,1.8,0.3,12,17.2,2.1,-1,1.1,1.7,4.8
117,8,0.517,0.74,0.106,1.5,7.5,4.6,22.8,1.2,0.1,23.7,9.2,-1.7,-1.7,-3.5,-0.3,1
118,24.4,0.554,0.007,0.307,7.3,29.6,19.1,15.5,1.2,6.4,11.7,27.8,-0.5,4.6,4.1,3.2,8.3
119,13.6,0.577,0.479,0.205,1.7,14.9,8,11.5,1,1.3,11.7,17.3,0.5,-0.6,-0.1,0.9,4.4
120,28.3,0.647,0.233,0.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,6.2,1.4,7.7,7.6,18.9
121,6.3,0.411,0.301,0.192,5.7,16.9,11.5,7.8,0.8,0.4,12.2,20.4,-5.3,-2.2,-7.6,-0.3,-0.1
122,12.2,0.546,0.454,0.142,1.7,10.3,5.8,10.1,1.4,0.1,9.2,16.8,0.2,-1.6,-1.4,0.3,3.2
122,9.8,0.529,0.487,0.08,0.9,8.4,4.5,9.9,1.3,0.1,10.4,15.7,-0.9,-1.1,-1.9,0,1.3
122,13.9,0.556,0.433,0.179,2.2,11.6,6.7,10.3,1.5,0.2,8.5,17.6,1,-2,-1,0.2,1.9
123,16.2,0.493,0.228,0.26,1.5,9.8,5.5,27.1,2.8,0.9,13.7,26.3,0.8,0,0.8,2.2,4.6
124,7.9,0.477,0.446,0.259,2.2,8.4,5.2,9.8,2.1,0.6,13.2,16.1,-2.5,-1.6,-4.2,-0.2,0.2
125,19.9,0.641,0.023,0.75,14,17.6,15.8,8,2,4.8,12,14.1,1.6,2.1,3.7,0.3,0.9
126,12.8,0.506,0,0.851,15.5,38,26.7,3.2,2,0.5,23.6,11,-3.2,1.3,-1.8,0.1,4.3
127,18.1,0.558,0.174,0.354,3.1,13.5,8.2,19,2.3,1,12.6,22.3,1.9,-0.6,1.3,1.7,4.4
128,9.3,0.467,0,0.479,14.3,16.4,15.4,2.7,1,5.2,23.5,10.7,-4,2.6,-1.4,0.2,1.5
129,18.5,0.573,0,0.386,13.2,23.2,18.3,5.1,1.8,2.9,12.3,17.7,0.8,1.5,2.2,2.4,7.8
130,17.5,0.533,0.009,0.458,11.9,24,17.9,6.8,2,5.7,15.9,20.6,-1.7,2.7,1.1,1.4,4.4
131,15.2,0.505,0.293,0.145,2.5,7.5,4.9,27,2.2,0.5,14.2,22.1,1.1,-0.9,0.3,1.3,4.2
132,10.3,0.487,0.063,0.238,6.7,17.4,11.9,8.9,1.6,0.6,14.6,12.9,-2.6,0.7,-1.9,0,1.1
133,7.7,0.492,0.497,0.236,0.4,6.6,3.6,11.7,1.7,0.4,14.4,16.4,-2.1,-2,-4.1,-0.3,0.4
133,8.7,0.513,0.354,0.354,0,7.2,3.6,19.5,1.1,0.7,19.3,18.5,-2.7,-2.4,-5.1,-0.2,0.1
133,7,0.478,0.594,0.156,0.7,6.2,3.6,6.6,2.1,0.2,10.5,15.1,-1.8,-1.7,-3.5,-0.1,0.3
134,13.8,0.597,0.355,0.257,1.6,7.4,4.6,15.5,2.2,0.2,15.9,20.4,1,-2,-0.9,0.1,1
135,11.7,0.55,0.588,0.195,0.9,5.8,3.3,11.7,1.5,0.9,10.3,18.1,1.7,-2.1,-0.3,0.9,3.7
136,14.6,0.546,0.381,0.242,2.2,6.4,4.2,15.9,1.6,0.2,13.1,23.9,0.7,-4.3,-3.6,-0.4,1.1
137,9.3,0.435,0,0.19,9.6,19.5,14.5,4.3,1.4,1.7,11,16.6,-5.3,-0.9,-6.2,-0.5,0.2
138,16.7,0.561,0.416,0.4,3.2,14.4,8.9,11.2,1.4,1.2,9.8,21.3,2.7,-0.4,2.3,2.5,7.2
139,11,0.519,0.597,0.07,0.9,9.4,5.1,9.2,2.3,2.9,9.4,14.7,-0.5,0.1,-0.4,0.4,1.3
139,10.5,0.488,0.532,0.068,1.1,10.1,5.5,9,2.3,3.4,8.7,14.5,-1.1,0.2,-0.9,0.2,0.6
139,12.2,0.586,0.737,0.074,0.4,7.7,4.1,9.5,2.2,1.7,10.9,15.1,0.9,-0.3,0.6,0.2,0.7
140,19.2,0.535,0.019,0.236,4.5,25.8,15.5,14.4,2,2.4,10.5,24.5,-1.2,2.3,1,1.5,5.6
141,9,0.375,0.306,0.204,3.7,7.8,5.7,31.3,3.4,0,23.1,20.7,-4.7,-1.5,-6.2,-0.2,-0.2
142,19.5,0.559,0.016,0.364,7.6,18.9,13.1,19.1,1.6,4.1,13.5,19.2,1.7,4.4,6.1,5.7,11.5
143,16.7,0.512,0.048,0.307,7.6,20.1,14,19.9,0.7,2.7,13.7,20.5,-0.4,1.9,1.5,1.5,3.7
144,15.6,0.494,0.208,0.235,4.3,16.3,10.2,13.6,2.3,1.6,12.5,27.2,-0.5,0.9,0.5,1.7,4
144,14.1,0.478,0.188,0.227,4.2,15.1,9.5,12.4,2,1.7,12.1,25.7,-1.2,1.3,0.1,0.8,2.4
144,17.6,0.513,0.232,0.246,4.4,17.8,11,15.3,2.6,1.5,13.1,29.1,0.4,0.4,0.9,0.8,1.6
145,10.5,0.505,0.294,0.276,3.3,11.7,7.3,8.2,2.2,0.9,13.7,16.9,-1.4,-0.1,-1.5,0.3,1.9
146,11.8,0.605,0.374,0.173,5.5,12.3,8.8,6.4,1.3,0.5,9.7,11.5,-0.1,0,-0.1,0.3,1.5
147,16.8,0.531,0.399,0.233,3.4,19,11.3,19.6,2.6,1.3,15.2,23.5,1.8,2.9,4.7,5,9
148,7.7,0.475,0.66,0.15,0.6,7.3,3.8,13.4,1.7,0.4,10.5,14.3,-1.1,-2.3,-3.4,-0.3,0.5
149,14.4,0.518,0.009,0.297,9.7,17.5,13.6,7.1,1,4.7,13.2,18.1,-2.6,2.1,-0.5,0.5,3.3
150,19,0.56,0.436,0.382,2.6,13.4,8.3,30.6,2.9,0.7,17.3,25.2,2.8,1,3.7,2,4.5
151,7.7,0.382,0.082,0.262,8.9,13.3,11,6.1,1.7,2.9,11.7,22.2,-6.5,-0.7,-7.2,-0.2,-0.1
152,12.7,0.515,0.384,0.167,1.3,8.5,4.8,17.6,1.2,0.8,14.3,27.8,-0.4,-4.7,-5.1,-1.2,-0.6
153,15.4,0.523,0.296,0.38,0.9,6.4,3.6,19.3,1.9,0.5,14.6,29.4,0.8,-3.3,-2.6,-0.2,1.1
154,15.4,0.543,0.005,0.244,7.6,24,15.6,6.5,1.1,3.9,13.6,17.2,-2.4,1.8,-0.6,0.7,3.4
155,-6.4,0,0,0,18.9,0,9.2,0,0,0,0,14.8,-12.2,-5.8,-18,0,0
156,4,0.35,0.286,0.229,4.6,8.9,6.8,6.9,1.4,1,9.4,26.2,-7.2,-2.4,-9.6,-0.1,-0.1
157,9,0.544,0,0.489,10.9,20,15.4,9.9,0.7,0.8,24.8,13.1,-3,0.1,-2.9,-0.1,0.5
158,14.1,0.6,0.623,0.119,2,10.3,6.4,9.5,2.1,1.8,11.9,16.6,2,1.3,3.3,2.9,5.9
159,7.1,0.404,0.261,0.214,6.2,20.3,13.5,7,2,1.8,15.4,14,-4.8,1.7,-3.1,-0.3,0.6
160,9.9,0.465,0.443,0.153,3.3,11.1,7.3,7.9,0.9,1.6,10.5,21.3,-2.6,-0.9,-3.5,-0.4,1.3
161,15,0.561,0.226,0.329,3,13.4,8.3,9.6,1.3,2.4,12.5,22.2,-0.9,0.1,-0.8,0.7,4.7
162,11.8,0.562,0.43,0.083,1.7,7.9,4.9,7.1,1.3,0.8,7.2,16.6,0.3,-1.8,-1.5,0.2,2.5
163,22.4,0.572,0.026,0.397,8.7,21.5,15.2,19.9,2,1.6,12.8,25.4,2.9,1.9,4.8,4.5,10.6
164,10.2,0.447,0,0.329,15,24.7,19.8,5.7,1,6.4,24.8,17.4,-6.2,2.5,-3.7,-0.1,0.1
164,7.4,0.343,0,0.095,13.3,19.4,16.3,6.9,0.6,5.7,15.5,13.7,-5.9,3.1,-2.7,0,0.1
164,11.2,0.479,0,0.41,15.6,26.7,21,5.2,1.1,6.7,27.3,18.7,-6.4,2.3,-4,-0.1,0
